type,id,lat,lon,tags/addr:city,tags/addr:housenumber,tags/addr:street,tags/healthcare,tags/healthcare:speciality,tags/name,tags/website,tags/addr:postcode,tags/alt_name,tags/opening_hours,tags/operator,tags/wheelchair,tags/addr:state,tags/amenity,tags/ele,tags/gnis:county_id,tags/gnis:created,tags/gnis:feature_id,tags/gnis:state_id,tags/contact:phone,tags/contact:phone:US,tags/contact:website,tags/entrance,tags/phone,tags/email,tags/healthcare:counselling,tags/addr:unit,tags/addr:country,tags/fax,tags/branch,tags/contact:fax,nodes/0,nodes/1,nodes/2,nodes/3,nodes/4,nodes/5,nodes/6,nodes/7,nodes/8,tags/building,tags/building:levels,tags/roof:shape,tags/source,nodes/9,nodes/10,nodes/11,nodes/12,nodes/13,nodes/14,nodes/15,tags/roof:levels,tags/source:addr:postcode,tags/source:geometry,nodes/16,nodes/17,nodes/18,nodes/19,nodes/20
node,5762176156,40.8137656,-79.5493387,,,,clinic,abortion,My Choice,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5765530617,34.0617107,-5.0131736,ain kadous fez,,,clinic,abortion,clinique haj abdehadi,,,,,clinique,,,clinic,,,,,,,,,,0535700470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5823110489,42.0852349,-76.0574482,Vestal,149,Vestal Parkway West,clinic,abortion,Amy R Cousins MD,https://www.amycousinsmd.com/,13850,,,,,NY,,,,,,,,,,,+1-607-785-4171,,,,US,+1-607-785-3915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5893211967,14.6228073,120.9882017,,,,clinic,abortion,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5941722850,45.4209974,-75.7009557,,65,Bank Street,clinic,abortion,Morgentaler Clinic,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5981431581,42.1999161,-83.1755397,Wyandotte,2010,Eureka Road,clinic,abortion,Right to Life of Michigan,,48192,,,,,MI,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6358514385,53.4828376,-2.2332158,Manchester,32,Lever Street,clinic,abortion,NUPAS,,M1 1DE,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6568802458,43.0342782,-87.903279,,,,clinic,abortion,Planned Parenthood of Wisconsin,,,,Mo-Fr 08:30-16:30; PH off,"Planned Parenthood of Wisconsin, Inc.",,,clinic,,,,,,+1 414 276 8777,,https://www.plannedparenthood.org/health-center/wisconsin/milwaukee/53202/milwaukee-jackson-street-health-center-3308-91860,,,,,,,,Administrative Office and Headquarters,+1 414 276 8110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6779470726,46.8768258,-96.7868824,Fargo,512,1st Avenue North,clinic,abortion,Red River Women's Clinic,https://www.redriverwomensclinic.com,58102,,Mo-Fr 09:00-17:00,,,ND,clinic,,,,,,,,,,+1-701-298-9999,info@RedRiverWomensClinic.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6779933100,34.7462098,-92.3975035,Little Rock,4,Office Park Drive,clinic,abortion,Little Rock Family Planning Services,https://lrfps.com,72211,,Mo-Sa 08:30-19:30; Su 11:00-19:00,,,AR,clinic,,,,,,,,,,+1-501-225-3836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6885592056,1.1472931,104.0269285,,,,clinic,abortion,apotek ar24,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,112421536,,,Fredericton,554,Brunswick Street,clinic,abortion,Clinic 554,,,,,,,,clinic,,,,,,,,,,,,,,,,,,1277812508,1277812515,6621304663,6621304662,1277812493,1277812478,6621304665,6621304664,1277812508,yes,1.5,flat,Bing,,,,,,,,,,,,,,,
way,466092971,,,London,32-36,Romford Road,clinic,abortion,BPAS London East,,E15 4BT,,,British Pregnancy Advisory Service,,,clinic,,,,,,,,,,,,,,,,,,4609797943,4609797942,4609797941,4609797940,4609797939,4609797938,617823045,5387966323,5390741109,yes,3,hipped,,5431917871,4609797936,4609797935,4609797934,4609797933,4609797932,4609797943,1,OS Opendata Codepoint,bing,,,,,
way,539334815,,,Calgary,2431,5 Avenue NW,clinic,abortion,Kensington Clinic,,T2N 0T3,,,,,,clinic,,,,,,,,,,,,,,,,,,5219045677,5219045678,5219045679,5219045680,5219045681,5219045677,,,,yes,,,,,,,,,,,,,,,,,,
way,561953477,,,,,,clinic,abortion,درمانگاه امام جعفر صادق,,,,,,,,clinic,,,,,,,,,,,,,,,,,,5417973062,5417973063,5417973064,5417973065,5417973066,5417973067,5417973062,,,yes,,,,,,,,,,,,,,,,,,
way,563799005,,,,,,clinic,abortion,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,5432821592,5432821593,5432821594,5432821595,5432821596,5432821597,5432821598,5432821599,5432821600,yes,,,,5432821601,5432821602,5432821603,5432821604,5432821605,5432821606,5432821607,,,,5432821608,5432821609,5432821610,5432821611,5432821592
way,631859187,,,,,,clinic,abortion,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,5966375759,5966375760,5966375761,5966375762,5966375763,5966375764,5966375759,,,yes,,,,,,,,,,,,,,,,,,
way,656607199,,,,,,clinic,abortion,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,6150573448,6150573449,6150573450,6150573451,6150573452,6150573453,6150573454,6150573455,6375531837,yes,,,,6150573456,6150573457,6150573458,6150573448,,,,,,,,,,,
way,688884854,,,عرفان اباد,,,clinic,abortion,مرکز خدمات درمانی,,,,Mo-Sa 08:00-14:00,,,,clinic,,,,,,,,,,,,,,,,,,6461635005,6461635006,6461635007,6461635008,6461635005,,,,,yes,,,,,,,,,,,,,,,,,,
node,5219045677,51.0571533,-114.117279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5219045678,51.0571542,-114.1167661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5219045679,51.0567813,-114.1167582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5219045680,51.056788,-114.1172922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5219045681,51.057042,-114.1172831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1277812478,45.9595286,-66.6413444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1277812493,45.959388,-66.6414688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1277812508,45.9595968,-66.641472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1277812515,45.959437,-66.6416134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6621304662,45.9594297,-66.6415666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6621304663,45.9594205,-66.6415748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6621304664,45.9595874,-66.64145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6621304665,45.9595775,-66.6414587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5966375759,41.358631,-8.20504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5966375760,41.3587142,-8.2050061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5966375761,41.3586969,-8.2049275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5966375762,41.3587235,-8.2048874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5966375763,41.35872,-8.2047904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5966375764,41.3586044,-8.2048212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6150573448,37.5845621,-2.5734975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6150573449,37.5846177,-2.573708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6150573450,37.5846986,-2.5737016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6150573451,37.5846935,-2.5738197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6150573452,37.5846304,-2.5739728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6150573453,37.5845849,-2.5740653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6150573454,37.5845545,-2.5741482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6150573455,37.5845394,-2.5741322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6150573456,37.5845697,-2.5738739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6150573457,37.5844408,-2.5735166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6150573458,37.5844812,-2.5734847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6375531837,37.5845969,-2.5739666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5432821593,32.3553643,15.1125233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5432821594,32.3555637,15.1125179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5432821595,32.3555637,15.1124106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5432821596,32.355677,15.1124106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5432821597,32.3556906,15.1125125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5432821598,32.3559127,15.1125179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5432821592,32.3553689,15.1132475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5432821599,32.3559262,15.1127593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5432821600,32.3558719,15.1127647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5432821601,32.3558673,15.1128129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5432821602,32.3559036,15.1128076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5432821603,32.3558991,15.1132421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5432821604,32.3558401,15.1133279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5432821605,32.3557948,15.113344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5432821606,32.355745,15.1132582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5432821607,32.3556634,15.1131724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5432821608,32.3555637,15.1131724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5432821609,32.3555683,15.112931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5432821610,32.3555229,15.1129363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5432821611,32.3555184,15.1132475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5417973065,28.9373864,53.651418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5417973066,28.9373364,53.6511699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5417973062,28.9375865,53.6513352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5417973063,28.9374836,53.6513623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5417973064,28.9374894,53.6513909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5417973067,28.9375423,53.6511158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,617823045,51.5420992,0.0057767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4609797932,51.541883,0.0055439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4609797933,51.5418842,0.0055569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4609797934,51.5418482,0.0055658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4609797935,51.5418643,0.0057337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4609797936,51.5420058,0.0056987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4609797938,51.5421189,0.0057718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4609797939,51.5421132,0.005712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4609797940,51.5421198,0.0057104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4609797941,51.5421044,0.0055499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4609797942,51.5420975,0.0055516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4609797943,51.5420918,0.0054922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5387966323,51.5420939,0.005778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5390741109,51.5420841,0.0057804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5431917871,51.5420158,0.0057979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6461635005,37.0373406,54.8427273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6461635006,37.0369946,54.842461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6461635007,37.0368339,54.842814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6461635008,37.0371231,54.8431608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
